"","bill_length_mm","bill_depth_mm","flipper_length_mm"
"116",37.7,19.8,198
"117",40.2,17,176
"118",41.4,18.5,202
"119",35.2,15.9,186
"120",40.6,19,199
"121",38.8,17.6,191
"122",41.5,18.3,195
"123",39,17.1,191
"124",44.1,18,210
"125",38.5,17.9,190
"126",43.1,19.2,197
"127",36.8,18.5,193
"128",37.5,18.5,199
"129",38.1,17.6,187
"130",41.1,17.5,190
"131",35.6,17.5,191
"132",40.2,20.1,200
"133",37,16.5,185
"134",39.7,17.9,193
"135",40.2,17.1,193
"136",40.6,17.2,187
"137",32.1,15.5,188
"138",40.7,17,190
"139",37.3,16.8,192
"140",39,18.7,185
"141",39.2,18.6,190
"142",36.6,18.4,184
"143",36,17.8,195
"144",37.8,18.1,193
"145",36,17.1,187
"146",41.5,18.5,201
"147",46.1,13.2,211
"148",50,16.3,230
"149",48.7,14.1,210
"150",50,15.2,218
"151",47.6,14.5,215
"152",46.5,13.5,210
"153",45.4,14.6,211
"154",46.7,15.3,219
"155",43.3,13.4,209
"156",46.8,15.4,215
"157",40.9,13.7,214
"158",49,16.1,216
"159",45.5,13.7,214
"160",48.4,14.6,213
"161",45.8,14.6,210
"162",49.3,15.7,217
"163",42,13.5,210
"164",49.2,15.2,221
"165",46.2,14.5,209
"166",48.7,15.1,222
"167",50.2,14.3,218
"168",45.1,14.5,215
"169",46.5,14.5,213
"170",46.3,15.8,215
"171",42.9,13.1,215
"172",46.1,15.1,215
"173",47.8,15,215
"174",48.2,14.3,210
"175",50,15.3,220
"176",47.3,15.3,222
"177",42.8,14.2,209
"178",45.1,14.5,207
"179",59.6,17,230
"180",49.1,14.8,220
"181",48.4,16.3,220
"182",42.6,13.7,213
"183",44.4,17.3,219
"184",44,13.6,208
"185",48.7,15.7,208
"186",42.7,13.7,208
"187",49.6,16,225
"188",45.3,13.7,210
"189",49.6,15,216
"190",50.5,15.9,222
"191",43.6,13.9,217
"192",45.5,13.9,210
"193",50.5,15.9,225
"194",44.9,13.3,213
"195",45.2,15.8,215
"196",46.6,14.2,210
"197",48.5,14.1,220
"198",45.1,14.4,210
"199",50.1,15,225
"200",46.5,14.4,217
"201",45,15.4,220
"202",43.8,13.9,208
"203",45.5,15,220
"204",43.2,14.5,208
"205",50.4,15.3,224
"206",45.3,13.8,208
"207",46.2,14.9,221
"208",45.7,13.9,214
"209",54.3,15.7,231
"210",45.8,14.2,219
"211",49.8,16.8,230
"212",49.5,16.2,229
"213",43.5,14.2,220
"214",50.7,15,223
"215",47.7,15,216
"216",46.4,15.6,221
"217",48.2,15.6,221
"218",46.5,14.8,217
"219",46.4,15,216
"220",48.6,16,230
"221",47.5,14.2,209
"222",51.1,16.3,220
"223",45.2,13.8,215
"224",45.2,16.4,223
"225",49.1,14.5,212
"226",52.5,15.6,221
"227",47.4,14.6,212
"228",50,15.9,224
"229",44.9,13.8,212
"230",50.8,17.3,228
"231",43.4,14.4,218
"232",51.3,14.2,218
"233",47.5,14,212
"234",52.1,17,230
"235",47.5,15,218
"236",52.2,17.1,228
"237",45.5,14.5,212
"238",49.5,16.1,224
"239",44.5,14.7,214
"240",50.8,15.7,226
"241",49.4,15.8,216
"242",46.9,14.6,222
"243",48.4,14.4,203
"244",51.1,16.5,225
"245",48.5,15,219
"246",55.9,17,228
"247",47.2,15.5,215
"248",49.1,15,228
"249",46.8,16.1,215
"250",41.7,14.7,210
"251",53.4,15.8,219
"252",43.3,14,208
"253",48.1,15.1,209
"254",50.5,15.2,216
"255",49.8,15.9,229
"256",43.5,15.2,213
"257",51.5,16.3,230
"258",46.2,14.1,217
"259",55.1,16,230
"260",48.8,16.2,222
"261",47.2,13.7,214
"262",46.8,14.3,215
"263",50.4,15.7,222
"264",45.2,14.8,212
"265",49.9,16.1,213
